date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:59:56	255045/255045	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:00:05%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/index.html	(from )
00:59:57	247/247	---M-Z	200	added ('OK')	text/plain	date:Thu,%2023%20Apr%202020%2007:50:27%20GMT	http://techydevs.com/robots.txt		(from )
00:59:58	2388/2388	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Apr%202020%2013:25:04%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/images/favicon.png	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/images/favicon.png	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
00:59:59	155712/155712	---M-Z	200	added ('OK')	text/css	date:Thu,%2019%20Sep%202019%2006:10:55%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/css/bootstrap.min.css	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/css/bootstrap.min.css	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:00	89728/89728	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20Jul%202020%2007:06:52%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/css/line-awesome.css	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/css/line-awesome.css	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:00	2936/2936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202017%2021:43:12%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/css/owl.carousel.min.css	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/css/owl.carousel.min.css	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:00	936/936	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Feb%202017%2021:43:12%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/css/owl.theme.default.min.css	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/css/owl.theme.default.min.css	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:01	10876/10876	---M-Z	200	added ('OK')	text/css	date:Thu,%2008%20Apr%202021%2014:20:00%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/css/bootstrap-select.min.css	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/css/bootstrap-select.min.css	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:02	17384/17384	---M-Z	200	added ('OK')	text/css	date:Mon,%2009%20Sep%202019%2010:21:28%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/css/fancybox.css	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/css/fancybox.css	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:02	10135/10135	---M-Z	200	added ('OK')	text/css	date:Wed,%2004%20Mar%202020%2015:28:14%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/css/tooltipster.bundle.css	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/css/tooltipster.bundle.css	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:03	162918/162918	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20May%202021%2004:19:00%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/css/style.css	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/css/style.css	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:04	54760/54760	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:25:15%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/login.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/login.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:04	56743/56743	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:24:43%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/sign-up.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/sign-up.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:05	5645/5645	---M--	200	added ('OK')	image/png	date:Sat,%2018%20Apr%202020%2008:42:16%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/images/logo.png	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/images/logo.png	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:06	99893/99893	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:12:48%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/course-grid.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/course-grid.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:06	160160/160160	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:08:22%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/home-2.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/home-2.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:08	142551/142551	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:10:30%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/home-3.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/home-3.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:08	201565/201565	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:12:01%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/home-4.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/home-4.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:09	98658/98658	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:05:06%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/course-list.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/course-list.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:09	111479/111479	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:13:52%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/course-grid-left-sidebar.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/course-grid-left-sidebar.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:10	111481/111481	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:14:18%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/course-grid-right-sidebar.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/course-grid-right-sidebar.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:11	109945/109945	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:05:31%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/course-list-left-sidebar.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/course-list-left-sidebar.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:12	109947/109947	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:07:11%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/course-list-right-sidebar.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/course-list-right-sidebar.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
01:00:12	136093/136093	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Aug%202021%2005:15:21%20GMT	http://techydevs.com/demos/themes/html/aduca-demo/aduca/course-details.html	C:/My%20Web%20Sites/project/techydevs.com/demos/themes/html/aduca-demo/aduca/course-details.html	(from http://techydevs.com/demos/themes/html/aduca-demo/aduca/index.html)
